term,def,emoji,courses,key,aliases,icon_type
subatomic particle,"A particle smaller than an atom — protons, neutrons, and electrons",🔬,sheltered-chemistry,true,"subatomic particles",subatomic_particle
proton,"A subatomic particle with a positive (+1) charge and mass of about 1 amu — found in the nucleus",➕,sheltered-chemistry,true,"protons",proton
neutron,"A subatomic particle with no charge (neutral) and mass of about 1 amu — found in the nucleus",⚪,sheltered-chemistry,true,"neutrons",neutron
electron,"A subatomic particle with a negative (−1) charge and almost no mass — found in the electron cloud",➖,sheltered-chemistry,true,"electrons",electron
electron cloud,"The region around the nucleus where electrons move rapidly — mostly empty space",☁️,sheltered-chemistry,true,"",electron_cloud
atomic number,"The number of protons in an atom — this number defines which element the atom is",🔢,sheltered-chemistry,true,"",atomic_number
mass number,"The total number of protons + neutrons in the nucleus — a whole number for a specific atom",🔢,sheltered-chemistry,true,"",mass_number
isotope,"Atoms of the SAME element (same protons) with DIFFERENT numbers of neutrons — same element, different mass",⚖️,sheltered-chemistry,true,"isotopes",isotope
atomic mass,"The weighted average mass of all naturally occurring isotopes of an element — shown as a decimal on the periodic table",⚖️,sheltered-chemistry,true,"",atomic_mass
energy level,"A region around the nucleus where electrons are found — also called a shell",🎯,sheltered-chemistry,true,"energy levels|electron shell|electron shells|shell|shells",energy_level
valence electron,"An electron in the outermost energy level — determines bonding and chemical properties",⭐,sheltered-chemistry,true,"valence electrons",valence_electron
core electron,"An electron in an inner energy level — held tightly near the nucleus and does NOT participate in bonding",🔒,sheltered-chemistry,true,"core electrons",core_electron
